"County","Sub-Location","Status/Reason"
"Makueni","Tsavo East National Park","National Park"
"Kiambu","Aberdare Forest","Forest Area"
"Turkana","Parkati","Population migrated in search of water"
"Nandi","Nandi South Forest","Forest Area"
"Nandi","North Tinderet Forest","Forest Area"
"Nandi","Nandi South Forest","Forest Area"
"Baringo","Lake Bogoria","Lake"
"Baringo","Lake Baringo","Lake"
"Nakuru","Mau Forest","Forest Area"
"Kericho","Mau Forest","Forest Area"
"Kericho","Tinderet Forest","Forest Area"
"Bomet","Mau Forest","Forest Area"
"Kakamega","Kakamega East Forest","Forest Area"
