ETHNICITY/NATIONALITY,TOTAL
TOTAL POPULATION,47564296
KENYANS,47067376
NON KENYANS,463562
NOT STATED,"3 3,0358"
KENYANS,47067376
AWEER/WAATA,"2 0,103"
BAJUNI,"9 1,0422"
BORANA,276236
BURJI,"3 6,0938"
DAHALO,575
DASENACH,"1 9,0337"
DASENACH (SO STATED),"1 8,0381"
MERILE,956
DOROBO,"2 3,0171"
EL MOLO,"1 ,104"
EMBU,404801
GABRA,141200
GOSHA,685
ILCHAMUS/NJEMPS,"3 2,0949"
KALENJIN,6358113
KALENJIN (SO STATED),1553057
ARROR,"9 2,0470"
CHERANGANY,"8 ,323"
ENDO,400
ENDOROIS,"4 5,0621"
KEIYO,251441
KIPSIGIS,1905983
LEMBUS,"7 1,0600"
MARAKWET,119969
NANDI,937884
OGIEK,"5 2,0596"
POKOT,778408
SABAOT/KONY/BONG'OMEK,296374
SAMOR,"1 2,0211"
SENGER,167
SENGWER,"1 0,729"
TERIK,"2 3,0324"
TUGEN,197556
KAMBA,4663910
KENYAN SOMALI,2780502
KENYAN SOMALI (SO STATED),579701
AJURAN,182276
DEGODIA,515583
GURREH,602174
HAWIYAH,"4 ,412"
ISAAK,"7 ,417"
LEYSAN,"1 1,0636"
ETHNICITY/NATIONALITY,TOTAL
SAMBURU,333471
SUBA,157787
SWAHILI,"5 6,1974"
SWAHILI (SO STATED),"1 7,0232"
AMU,"5 ,143"
BARAWA,"4 ,633"
CHITUNDI,319
JOMVU,"4 ,728"
MUNYOYAYA/MUYEYAYA,"1 5,2024"
MVITA,402
NGARE,"1 ,057"
PATE,"1 ,120"
SIU,"1 ,016"
VUMBA,"1 ,449"
WACHANGAMWE,"1 ,344"
WAFAZA,69
WAKATWA,113
KIKUYU,8148668
KISII,2703235
KONSO,1299
KURIA,313854
LUHYA,6823842
LUHYA (SO STATED),3944257
ABAKHENYE,24468
BAKHAYO,68703
BANYALA,227165
BANYORE,154553
BATSOTSO,72687
BATURA,12857
BUKUSU,1188963
IDAKHO,54661
ISUKHA,101789
KABRAS,136962
KISA,35135
MARACHI,65633
MARAGOLI,334926
MARAMA,43075
SAMIA,84828
TACHONI,85597
TIRIKI,93393
WANGA,94190
LUO,5066966
MAASAI,1189522
MAKONDE,3764
MBEERE,195250
MERU,1975869
MIJIKENDA,2488691
MIJIKENDA (SO STATED),40724
CHONYI,198653
DIGO/WAFUNDI/WASAKWA,409595
DURUMA,555135
GIRIAMA,1007653
JIBANA,38466
KAMBE,31007
KAUMA,71061
RABAI,125707
RIBE,10690
NUBI,21319
POKOMO,112075
ORMA,158993
ORMA (SO STATED),92086
GALLA,932
WARDEI,65975
RENDILE,96313
SAKUYE,27006
NON-KENYANS,463562
EAST AFRICANS,226372
BURUNDI,13983
RWANDA,8729
SOUTH SUDAN,62894
UGANDA,95938
UNITED REPUBLIC OF TANZANIA,44828
OTHER AFRICANS,144646
AMERICANS,13781
ASIANS,42972
CARIBBEANS,241
EUROPEANS,26753
OCEANIA AND PACIFIC,1187
OTHER NATIONALITY,1338
"STATELESS (GALJEEL, SHONA,",-
"WAPEMBA, PARE E.T.C)",6272
