"COUNTY","Total","Health Facility","Non-HealthFacility","Don'tKnow","Not Stated","per cent"
"KENYA",4636645,3863596,763452,9590,7,83.3
"Rural",2996140,2307719,680271,8147,3,77
"Urban",1640505,1555877,83181,1443,4,94.8
"MOMBASA",131086,122125,8917,44,"-",93.2
"KWALE",88532,70738,17704,90,"-",79.9
"KILIFI",142800,112846,29831,122,1,79
"TANA RIVER",33100,18460,14558,82,"-",55.8
"LAMU",13514,10588,2925,1,"-",78.3
"TAITA-TAVETA",31531,28422,3100,9,"-",90.1
"GARISSA",61844,34842,25569,1433,"-",56.3
"WAJIR",68920,30389,37643,888,"-",44.1
"MANDERA",81531,38938,41071,1522,"-",47.8
"MARSABIT",42316,22074,19991,251,"-",52.2
"ISIOLO",25920,17552,8241,127,"-",67.7
"MERU",144104,134721,9303,80,"-",93.5
"THARAKA-NITHI",33772,30964,2779,29,"-",91.7
"EMBU",54176,50367,3796,13,"-",93
"KITUI",95400,73646,21586,167,1,77.2
"MACHAKOS",126591,112548,13972,71,"-",88.9
"MAKUENI",75682,65640,9958,84,"-",86.7
"NYANDARUA",56625,52551,4063,11,"-",92.8
"NYERI",62250,60916,1322,12,"-",97.9
"KIRINYAGA",51979,50975,995,9,"-",98.1
"MURANG'A",89903,84603,5279,21,"-",94.1
"KIAMBU",258572,249496,8976,100,"-",96.5
"TURKANA",79378,42188,35991,1199,"-",53.1
"WEST POKOT",68708,34202,34269,237,"-",49.8
"SAMBURU",31453,14121,17196,136,"-",44.9
"TRANS NZOIA",97462,66967,30358,137,"-",68.7
"UASIN GISHU",118200,105065,13071,64,"-",88.9
"ELGEYO-MARAKWET",44098,38408,5665,25,"-",87.1
"NANDI",84741,64258,20342,141,"-",75.8
"BARINGO",64851,47425,17204,222,"-",73.1
"LAIKIPIA",50465,39285,11140,40,"-",77.8
"NAKURU",224180,192247,31783,148,2,85.8
"NAROK",128449,74716,53183,550,"-",58.2
"KAJIADO",127020,100402,26343,274,1,79
"KERICHO",89107,71942,17113,52,"-",80.7
"BOMET",86865,70618,16161,86,"-",81.3
"KAKAMEGA",167691,144019,23519,153,"-",85.9
"VIHIGA",47044,41168,5851,25,"-",87.5
"BUNGOMA",159661,132664,26736,261,"-",83.1
"BUSIA",83649,70820,12762,67,"-",84.7
"SIAYA",92926,85117,7776,33,"-",91.6
"KISUMU",114833,105806,8989,38,"-",92.1
"HOMABAY",116773,101724,14944,105,"-",87.1
"MIGORI",119288,104176,14955,157,"-",87.3
"KISII",114192,105861,8288,43,"-",92.7
"NYAMIRA",51480,47995,3458,26,1,93.2
"NAIROBI CITY",503983,489001,14776,205,1,97
